publication_pmid,n_held_out,n_train,rmse,r2
20080679,50,14252,1.3771438122228332,-0.9352296728479137
27981708,72,14230,1.1904415857008952,-0.41715116940591734
38082180,1080,13222,1.1819618132100826,-0.3983284765141848
39424104,180,14122,1.1552608910804913,-0.33462772704564525
39578640,151,14151,1.1252155154297898,-0.26610995608567123
37661193,325,13977,1.1204506421760747,-0.2554096415771878
38969646,140,14162,1.0928878846061256,-0.19440392819325036
36997680,773,13529,1.0832125156550951,-0.17334935404075247
38424061,180,14122,1.0828626785982869,-0.17259158068532332
38060560,288,14014,1.0696908784781478,-0.14423857547063412
39060305,2400,11902,1.0643297635405247,-0.133742631047979
37853662,31,14271,1.0503687718866654,-0.1032745565226405
32080183,30,14272,1.0029167438223858,-0.07768785173547577
37990414,248,14054,1.0337980096709558,-0.06873832453631046
39875076,96,14206,1.0170062837813834,-0.05630820214995702
35879315,1080,13222,1.0265282303107324,-0.054736815896376134
36269150,144,14158,1.0257659856137447,-0.052195857068786156
37985700,1902,12400,1.0167969006543383,-0.03387593716976678
24969323,1182,13120,1.0058916713491524,-0.011818054484469709
39497197,623,13679,1.0040091426818725,-0.008034358412901899
31570898,1128,13174,1.000995182203051,-0.001991354798479783
39354147,252,14050,0.9961482671402865,0.007688629863289664
37591187,119,14183,0.9937261699796202,0.012508299009123203
39742515,270,14032,0.9914853062574113,0.016956887479707916
38740955,611,13691,0.9866894165728719,0.02644399510808526
40234552,91,14211,0.9512428091193601,0.09513711806652014
38437545,260,14042,0.9249317891895796,0.14450118540659207
38409275,60,14242,0.9134149742409069,0.1656730848236765
40060499,500,13802,0.8378439035704238,0.2980175931853378
